(0, 'ANC', 'SEA', 'AS', NULL, 1, 1, 4, 5),
(1, 'LAX', 'PBI', 'AA', NULL, 1, 1, 4, 10),
(2, 'SFO', 'CLT', 'US', NULL, 1, 1, 4, 20),
(3, 'LAX', 'MIA', 'AA', NULL, 1, 1, 4, 20),
(4, 'SEA', 'ANC', 'AS', NULL, 1, 1, 4, 25),
(5, 'SFO', 'MSP', 'DL', NULL, 1, 1, 4, 25),
(6, 'LAS', 'MSP', 'NK', NULL, 1, 1, 4, 25),
(7, 'LAX', 'CLT', 'US', NULL, 1, 1, 4, 30),
(8, 'SFO', 'DFW', 'AA', NULL, 1, 1, 4, 30),
(9, 'LAS', 'ATL', 'DL', NULL, 1, 1, 4, 30),
(10, 'DEN', 'ATL', 'DL', NULL, 1, 1, 4, 30),
(11, 'LAS', 'MIA', 'AA', NULL, 1, 1, 4, 35),
(12, 'LAX', 'MSP', 'DL', NULL, 1, 1, 4, 35),
(13, 'SLC', 'ATL', 'DL', NULL, 1, 1, 4, 40),
(14, 'SEA', 'MSP', 'DL', NULL, 1, 1, 4, 40),
(15, 'ANC', 'SEA', 'AS', NULL, 1, 1, 4, 45),
(16, 'ANC', 'SEA', 'DL', NULL, 1, 1, 4, 45),
(17, 'SFO', 'IAH', 'UA', NULL, 1, 1, 4, 48),
(18, 'ANC', 'PDX', 'AS', NULL, 1, 1, 4, 50),
(19, 'PDX', 'MSP', 'DL', NULL, 1, 1, 4, 50),
(20, 'LAS', 'MCI', 'NK', NULL, 1, 1, 4, 55),
(21, 'SEA', 'MIA', 'AA', NULL, 1, 1, 4, 100),
(22, 'LAS', 'DFW', 'NK', NULL, 1, 1, 4, 103),
(23, 'LAX', 'MIA', 'AA', NULL, 1, 1, 4, 105),
(24, 'LAS', 'MSP', 'DL', NULL, 1, 1, 4, 105),
(25, 'LAX', 'IAH', 'UA', NULL, 1, 1, 4, 115),
(26, 'FAI', 'SEA', 'AS', NULL, 1, 1, 4, 115),
(27, 'MSP', 'FLL', 'NK', NULL, 1, 1, 4, 115),
(28, 'LAS', 'CLT', 'US', NULL, 1, 1, 4, 120),
(29, 'DEN', 'MIA', 'AA', NULL, 1, 1, 4, 120),
(30, 'PHX', 'ORD', 'NK', NULL, 1, 1, 4, 125),
(31, 'PHX', 'MIA', 'AA', NULL, 1, 1, 4, 127),
(32, 'ANC', 'SEA', 'AS', 'A', 1, 1, 4, 135),
(33, 'SLC', 'ATL', 'DL', NULL, 1, 1, 4, 140),
(34, 'LAS', 'IAH', 'NK', NULL, 1, 1, 4, 144),
(35, 'LAS', 'HNL', 'HA', NULL, 1, 1, 4, 145),
(36, 'ANC', 'PHX', 'US', NULL, 1, 1, 4, 152),
(37, 'SJU', 'EWR', 'UA', NULL, 1, 1, 4, 154),
(38, 'ANC', 'SEA', 'AS', NULL, 1, 1, 4, 155),
(39, 'SJU', 'JFK', 'B6', NULL, 1, 1, 4, 155),
(40, 'PBG', 'FLL', 'NK', NULL, 1, 1, 4, 155),
(41, 'PHX', 'DFW', 'NK', NULL, 1, 1, 4, 159),
(42, 'PHX', 'DFW', 'AA', 'B', 1, 1, 4, 200),
(43, 'ANC', 'PDX', 'AS', NULL, 1, 1, 4, 200),
(44, 'IAG', 'FLL', 'NK', NULL, 1, 1, 4, 200),
(45, 'SJU', 'EWR', 'B6', NULL, 1, 1, 4, 206),
(46, 'PHX', 'CLT', 'US', NULL, 1, 1, 4, 220),
(47, 'ANC', 'SEA', 'AS', NULL, 1, 1, 4, 220),
(48, 'PSE', 'MCO', 'B6', NULL, 1, 1, 4, 255),
(49, 'BQN', 'EWR', 'UA', NULL, 1, 1, 4, 259),
(50, 'BQN', 'MCO', 'B6', NULL, 1, 1, 4, 307),
(51, 'SJU', 'BOS', 'B6', NULL, 1, 1, 4, 330),
(52, 'SJU', 'MCO', 'B6', NULL, 1, 1, 4, 400),
(53, 'BQN', 'MCO', 'B6', NULL, 1, 1, 4, 419),
(54, 'PSE', 'MCO', 'B6', NULL, 1, 1, 4, 424),
(55, 'SJU', 'BDL', 'B6', NULL, 1, 1, 4, 438),
(56, 'ORD', 'PHX', 'US', NULL, 1, 1, 4, 500),
(57, 'GEG', 'SEA', 'AS', NULL, 1, 1, 4, 500),
(58, 'HNL', 'ITO', 'HA', NULL, 1, 1, 4, 500),
(59, 'ONT', 'SFO', 'OO', NULL, 1, 1, 4, 500),
(60, 'HNL', 'KOA', 'HA', NULL, 1, 1, 4, 502),
(61, 'ANC', 'SEA', 'AS', NULL, 1, 1, 4, 505),
(62, 'HNL', 'OGG', 'HA', NULL, 1, 1, 4, 505),
(63, 'ORD', 'IAH', 'UA', NULL, 1, 1, 4, 510),
(64, 'MCO', 'MIA', 'AA', NULL, 1, 1, 4, 510),
(65, 'BOS', 'MYR', 'NK', NULL, 1, 1, 4, 510),
(66, 'HIB', 'MSP', 'OO', NULL, 1, 1, 4, 510),
(67, 'ABR', 'MSP', 'OO', NULL, 1, 1, 4, 510),
(68, 'MAF', 'IAH', 'OO', 'B', 1, 1, 4, 510),
(69, 'SEA', 'PHX', 'US', NULL, 1, 1, 4, 515),
(70, 'DFW', 'MIA', 'AA', NULL, 1, 1, 4, 515),
(71, 'BOS', 'MIA', 'AA', NULL, 1, 1, 4, 515),
(72, 'MKE', 'IAH', 'EV', NULL, 1, 1, 4, 515),
(73, 'PDX', 'PHX', 'US', NULL, 1, 1, 4, 520),
(74, 'IAH', 'MIA', 'AA', NULL, 1, 1, 4, 520),
(75, 'BNA', 'DTW', 'DL', NULL, 1, 1, 4, 520),
(76, 'BRO', 'IAH', 'EV', NULL, 1, 1, 4, 520),
(77, 'VPS', 'ATL', 'EV', NULL, 1, 1, 4, 520),
(78, 'BOI', 'SFO', 'OO', NULL, 1, 1, 4, 520),
(79, 'BJI', 'MSP', 'OO', NULL, 1, 1, 4, 520),
(80, 'HNL', 'LIH', 'HA', NULL, 1, 1, 4, 523),
(81, 'BNA', 'ATL', 'EV', NULL, 1, 1, 4, 525),
(82, 'SGF', 'DFW', 'MQ', 'B', 1, 1, 4, 525),
(83, 'PHL', 'IAH', 'UA', NULL, 1, 1, 4, 530),
(84, 'PDX', 'DEN', 'UA', NULL, 1, 1, 4, 530),
(85, 'SEA', 'DEN', 'UA', NULL, 1, 1, 4, 530),
(86, 'DEN', 'DFW', 'AA', NULL, 1, 1, 4, 530),
(87, 'SBN', 'ORD', 'EV', NULL, 1, 1, 4, 530),
(88, 'PHL', 'MCO', 'F9', NULL, 1, 1, 4, 530),
(89, 'ORD', 'FLL', 'NK', NULL, 1, 1, 4, 530),
(90, 'RDD', 'SFO', 'OO', 'A', 1, 1, 4, 530),
(91, 'EUG', 'DEN', 'OO', NULL, 1, 1, 4, 530),
(92, 'SFO', 'DEN', 'UA', NULL, 1, 1, 4, 531),
(93, 'ORD', 'DEN', 'UA', NULL, 1, 1, 4, 533),
(94, 'IAD', 'IAH', 'UA', NULL, 1, 1, 4, 535),
(95, 'BUF', 'JFK', 'B6', NULL, 1, 1, 4, 535),
(96, 'PWM', 'JFK', 'B6', NULL, 1, 1, 4, 535),
(97, 'JFK', 'SJU', 'B6', NULL, 1, 1, 4, 535),
(98, 'CRP', 'IAH', 'EV', NULL, 1, 1, 4, 535),
